Occupation,Biased gender of occupation,English source,Type,EN Gender,Google Translate,Google gender,DeepL,,DeepL gender
writer,F,The writer finished the work.,ambiguous base,N,Ο συγγραφέας τελείωσε το έργο.,M,Ο συγγραφέας ολοκλήρωσε το έργο.,,M
writer,F,The shifty writer finished the work.,ambiguous + male-biased adj.,N,Ο δύστροπος συγγραφέας τελείωσε το έργο.,M,Ο επιπόλαιος συγγραφέας τελείωσε το έργο.,,M
writer,F,The saucy writer finished the work.,ambiguous + female-biased adj.,N,Ο αυθάδης συγγραφέας τελείωσε το έργο.,M,Ο αυθάδης συγγραφέας τελείωσε το έργο.,Η αυθάδης συγγραφέας ολοκλήρωσε το έργο.,M-F
writer,F,The writer finished his work.,unambiguous [Male],M,Ο συγγραφέας τελείωσε το έργο του.,M,Ο συγγραφέας τελείωσε τη δουλειά του.,,M
writer,F,The writer finished her work.,unambiguous [Female],F,Η συγγραφέας τελείωσε το έργο της.,F,Η συγγραφέας τελείωσε τη δουλειά της.,,F
writer,F,The writer finished their work.,ambiguous / unambiguous [Non-binary],N,Ο συγγραφέας τελείωσε το έργο του.,M,Ο συγγραφέας τελείωσε το έργο του.,,M
cashier,F,The cashier finished the work.,ambiguous base,N,Ο ταμίας τελείωσε τη δουλειά.,M,Ο ταμίας τελείωσε τη δουλειά.,,M
cashier,F,The affable cashier finished the work.,ambiguous + male-biased adj.,N,Ο ευγενικός ταμίας τελείωσε τη δουλειά.,M,Ο ευγενικός ταμίας τελείωσε τη δουλειά.,,M
cashier,F,The lovely cashier finished the work.,ambiguous + female-biased adj.,N,Ο υπέροχος ταμίας τελείωσε τη δουλειά.,M,Η αξιαγάπητη ταμίας τελείωσε τη δουλειά.,,F
cashier,F,The cashier finished his work.,unambiguous [Male],M,Ο ταμίας τελείωσε τη δουλειά του.,M,Ο ταμίας τελείωσε τη δουλειά του.,,M
cashier,F,The cashier finished her work.,unambiguous [Female],F,Η ταμίας τελείωσε τη δουλειά της.,F,Η ταμίας τελείωσε τη δουλειά της.,,F
cashier,F,The cashier finished their work.,ambiguous / unambiguous [Non-binary],N,Ο ταμίας τελείωσε τη δουλειά τους.,error [2],Ο ταμίας τελείωσε τη δουλειά του.,,M
clerk,F,The clerk finished the work.,ambiguous base,N,Ο υπάλληλος τελείωσε τη δουλειά.,M,Ο υπάλληλος τελείωσε τη δουλειά.,,M
clerk,F,The eminent clerk finished the work.,ambiguous + male-biased adj.,N,Ο επιφανής υπάλληλος τελείωσε τη δουλειά.,M,Ο επιφανής υπάλληλος ολοκλήρωσε το έργο.,,M
clerk,F,The saucy clerk finished the work.,ambiguous + female-biased adj.,N,Ο αυθάδης υπάλληλος τελείωσε τη δουλειά.,M,Ο αυθάδης υπάλληλος τελείωσε τη δουλειά.,Η αυθάδης υπάλληλος τελείωσε τη δουλειά.,M-F
clerk,F,The clerk finished his work.,unambiguous [Male],M,Ο υπάλληλος τελείωσε τη δουλειά του.,M,Ο υπάλληλος τελείωσε τη δουλειά του.,,M
clerk,F,The clerk finished her work.,unambiguous [Female],F,Η υπάλληλος τελείωσε τη δουλειά της.,F,Η υπάλληλος τελείωσε τη δουλειά της.,,F
clerk,F,The clerk finished their work.,ambiguous / unambiguous [Non-binary],N,Ο υπάλληλος τελείωσε τη δουλειά τους.,error [2],Ο υπάλληλος τελείωσε τη δουλειά του.,,M
tailor,F,The tailor finished the work.,ambiguous base,N,Ο ράφτης τελείωσε τη δουλειά.,M,Ο ράφτης τελείωσε τη δουλειά.,,M
tailor,F,The rascally tailor finished the work.,ambiguous + male-biased adj.,N,Τελείωσε τη δουλειά ο ράφτης ράφτης.,error [1],Ο κατεργάρης ράφτης τελείωσε τη δουλειά.,,M
tailor,F,The bubbly tailor finished the work.,ambiguous + female-biased adj.,N,Ο αφρώδης ράφτης τελείωσε τη δουλειά.,M,Ο αεικίνητος ράφτης ολοκλήρωσε τη δουλειά.,,M
tailor,F,The tailor finished his work.,unambiguous [Male],M,Ο ράφτης τελείωσε τη δουλειά του.,M,Ο ράφτης τελείωσε τη δουλειά του.,,M
tailor,F,The tailor finished her work.,unambiguous [Female],F,Ο ράφτης τελείωσε τη δουλειά της.,error [2],Η ράφτρα τελείωσε τη δουλειά της.,,F
tailor,F,The tailor finished their work.,ambiguous / unambiguous [Non-binary],N,Ο ράφτης τελείωσε τη δουλειά τους.,error [2],Ο ράφτης τελείωσε τη δουλειά του.,,M
attendant,F,The attendant finished the work.,ambiguous base,N,Ο συνοδός τελείωσε τη δουλειά.,M,Ο συνοδός τελείωσε τη δουλειά.,,M
attendant,F,The arrogant attendant finished the work.,ambiguous + male-biased adj.,N,Ο αγέρωχος συνοδός τελείωσε τη δουλειά.,M,Ο αλαζόνας συνοδός τελείωσε τη δουλειά.,,M
attendant,F,The sassy attendant finished the work.,ambiguous + female-biased adj.,N,Ο αυθάδης συνοδός τελείωσε τη δουλειά.,M,Η αυθάδης συνοδός τελείωσε τη δουλειά.,Ο αυθάδης υπάλληλος τελείωσε τη δουλειά.,M-F
attendant,F,The attendant finished his work.,unambiguous [Male],M,Ο συνοδός τελείωσε τη δουλειά του.,M,Ο συνοδός τελείωσε τη δουλειά του.,,M
attendant,F,The attendant finished her work.,unambiguous [Female],F,Η συνοδός τελείωσε τη δουλειά της.,F,Η υπάλληλος τελείωσε τη δουλειά της.,,F
attendant,F,The attendant finished their work.,ambiguous / unambiguous [Non-binary],N,Ο συνοδός τελείωσε τη δουλειά του.,M,Ο συνοδός τελείωσε τη δουλειά του.,,M
counselor,F,The counselor finished the work.,ambiguous base,N,Ο σύμβουλος τελείωσε τη δουλειά.,M,Ο σύμβουλος τελείωσε τη δουλειά.,,M
counselor,F,The rascally counselor finished the work.,ambiguous + male-biased adj.,N,Ο ακατάστατος σύμβουλος τελείωσε τη δουλειά.,M,Ο κατεργάρης σύμβουλος τελείωσε το έργο.,,M
counselor,F,The lovely counselor finished the work.,ambiguous + female-biased adj.,N,Ο υπέροχος σύμβουλος τελείωσε τη δουλειά.,M,Η αξιαγάπητη σύμβουλος ολοκλήρωσε το έργο.,,F
counselor,F,The counselor finished his work.,unambiguous [Male],M,Ο σύμβουλος τελείωσε τη δουλειά του.,M,Ο σύμβουλος τελείωσε τη δουλειά του.,,M
counselor,F,The counselor finished her work.,unambiguous [Female],F,Η σύμβουλος τελείωσε τη δουλειά της.,F,Η σύμβουλος τελείωσε τη δουλειά της.,,F
counselor,F,The counselor finished their work.,ambiguous / unambiguous [Non-binary],N,Ο σύμβουλος τελείωσε τη δουλειά τους.,error [2],Ο σύμβουλος τελείωσε τη δουλειά του.,,M
teacher,F,The teacher finished the work.,ambiguous base,N,Ο δάσκαλος τελείωσε την εργασία.,M,Ο δάσκαλος τελείωσε την εργασία.,,M
teacher,F,The rascally teacher finished the work.,ambiguous + male-biased adj.,N,Τελείωσε τη δουλειά ο άσπιλος δάσκαλος.,M,Ο κατεργάρης δάσκαλος τελείωσε το έργο.,,M
teacher,F,The blonde teacher finished the work.,ambiguous + female-biased adj.,N,Η ξανθιά δασκάλα τελείωσε τη δουλειά.,F,Η ξανθιά δασκάλα τελείωσε τη δουλειά.,,F
teacher,F,The teacher finished his work.,unambiguous [Male],M,Ο δάσκαλος τελείωσε τη δουλειά του.,M,Ο δάσκαλος τελείωσε τη δουλειά του.,,M
teacher,F,The teacher finished her work.,unambiguous [Female],F,Η δασκάλα τελείωσε τη δουλειά της.,F,Η δασκάλα τελείωσε τη δουλειά της.,,F
teacher,F,The teacher finished their work.,ambiguous / unambiguous [Non-binary],N,Ο δάσκαλος τελείωσε τη δουλειά του.,M,Ο δάσκαλος τελείωσε τη δουλειά τους.,,error [2]
librarian,F,The librarian finished the work.,ambiguous base,N,Ο βιβλιοθηκάριος τελείωσε τη δουλειά.,M,Ο βιβλιοθηκάριος τελείωσε τη δουλειά.,,M
librarian,F,The wiry librarian finished the work.,ambiguous + male-biased adj.,N,Ο εύθυμος βιβλιοθηκάριος τελείωσε τη δουλειά.,M,Ο βραχύσωμος βιβλιοθηκάριος τελείωσε τη δουλειά.,,M
librarian,F,The alluring librarian finished the work.,ambiguous + female-biased adj.,N,Ο δελεαστικός βιβλιοθηκάριος ολοκλήρωσε τη δουλειά.,M,Η γοητευτική βιβλιοθηκάριος τελείωσε τη δουλειά.,,F
librarian,F,The librarian finished his work.,unambiguous [Male],M,Ο βιβλιοθηκάριος τελείωσε τη δουλειά του.,M,Ο βιβλιοθηκάριος τελείωσε τη δουλειά του.,,M
librarian,F,The librarian finished her work.,unambiguous [Female],F,Η βιβλιοθηκονόμος τελείωσε τη δουλειά της.,F,Η βιβλιοθηκάριος τελείωσε τη δουλειά της.,,F
librarian,F,The librarian finished their work.,ambiguous / unambiguous [Non-binary],N,Ο βιβλιοθηκάριος τελείωσε τη δουλειά τους.,error [2],Ο βιβλιοθηκάριος τελείωσε τη δουλειά τους.,,error [2]
assistant,F,The assistant finished the work.,ambiguous base,N,Ο βοηθός τελείωσε τη δουλειά.,M,Ο βοηθός τελείωσε τη δουλειά.,,M
assistant,F,The eminent assistant finished the work.,ambiguous + male-biased adj.,N,Ο επιφανής βοηθός τελείωσε τη δουλειά.,M,Ο επιφανής βοηθός ολοκλήρωσε το έργο.,,M
assistant,F,The sassy assistant finished the work.,ambiguous + female-biased adj.,N,Ο αυθάδης βοηθός τελείωσε τη δουλειά.,M,Η αυθάδης βοηθός τελείωσε τη δουλειά.,,F
assistant,F,The assistant finished his work.,unambiguous [Male],M,Ο βοηθός τελείωσε τη δουλειά του.,M,Ο βοηθός τελείωσε τη δουλειά του.,,M
assistant,F,The assistant finished her work.,unambiguous [Female],F,Η βοηθός τελείωσε τη δουλειά της.,F,Η βοηθός τελείωσε τη δουλειά της.,,F
assistant,F,The assistant finished their work.,ambiguous / unambiguous [Non-binary],N,Ο βοηθός τελείωσε τη δουλειά τους.,error [2],Ο βοηθός τελείωσε τη δουλειά του.,,M
cleaner,F,The cleaner finished the work.,ambiguous base,N,Η καθαρίστρια τελείωσε τη δουλειά.,F,Η καθαρίστρια τελείωσε τη δουλειά.,Ο καθαριστής τελείωσε τη δουλειά.,M-F
cleaner,F,The debonair cleaner finished the work.,ambiguous + male-biased adj.,N,Η καθαρίστρια τελείωσε τη δουλειά.,error [4],Ο ευγενικός καθαριστής τελείωσε τη δουλειά.,,M
cleaner,F,The alluring cleaner finished the work.,ambiguous + female-biased adj.,N,Η δελεαστική καθαρίστρια τελείωσε τη δουλειά.,F,Η γοητευτική καθαρίστρια τελείωσε τη δουλειά.,,F
cleaner,F,The cleaner finished his work.,unambiguous [Male],M,Ο καθαριστής τελείωσε τη δουλειά του.,M,Ο καθαριστής τελείωσε τη δουλειά του.,,M
cleaner,F,The cleaner finished her work.,unambiguous [Female],F,Η καθαρίστρια τελείωσε τη δουλειά της.,F,Η καθαρίστρια τελείωσε τη δουλειά της.,,F
cleaner,F,The cleaner finished their work.,ambiguous / unambiguous [Non-binary],N,Η καθαρίστρια τελείωσε τη δουλειά της.,F,Η καθαρίστρια τελείωσε τη δουλειά της.,,F
housekeeper,F,The housekeeper finished the work.,ambiguous base,N,Η οικονόμος τελείωσε τη δουλειά.,F,Η οικονόμος τελείωσε τη δουλειά.,,F
housekeeper,F,The jovial housekeeper finished the work.,ambiguous + male-biased adj.,N,Η χαρούμενη οικονόμος τελείωσε τη δουλειά.,F,Η χαρούμενη οικονόμος τελείωσε τη δουλειά.,,F
housekeeper,F,The perky housekeeper finished the work.,ambiguous + female-biased adj.,N,Η ζωηρή οικονόμος τελείωσε τη δουλειά.,F,Η ζωηρή οικονόμος τελείωσε τη δουλειά.,,F
housekeeper,F,The housekeeper finished his work.,unambiguous [Male],M,Ο οικονόμος τελείωσε τη δουλειά του.,M,Η οικονόμος τελείωσε τη δουλειά της.,,F
housekeeper,F,The housekeeper finished her work.,unambiguous [Female],F,Η οικονόμος τελείωσε τη δουλειά της.,F,Η οικονόμος τελείωσε τη δουλειά της.,,F
housekeeper,F,The housekeeper finished their work.,ambiguous / unambiguous [Non-binary],N,Η οικονόμος τελείωσε τη δουλειά τους.,error [2],Η οικονόμος τελείωσε τη δουλειά της.,,F
receptionist,F,The receptionist finished the work.,ambiguous base,N,Ο ρεσεψιονίστ τελείωσε τη δουλειά.,M,Η ρεσεψιονίστ τελείωσε τη δουλειά.,,F
receptionist,F,The grizzled receptionist finished the work.,ambiguous + male-biased adj.,N,Ο γκριζαρισμένος ρεσεψιονίστ τελείωσε τη δουλειά.,M,Η γκρίζα ρεσεψιονίστ τελείωσε τη δουλειά.,,F
receptionist,F,The bubbly receptionist finished the work.,ambiguous + female-biased adj.,N,Ο αφρώδης ρεσεψιονίστ τελείωσε τη δουλειά.,M,Η ζωηρή ρεσεψιονίστ τελείωσε τη δουλειά.,,F
receptionist,F,The receptionist finished his work.,unambiguous [Male],M,Ο ρεσεψιονίστ τελείωσε τη δουλειά του.,M,Ο ρεσεψιονίστ τελείωσε τη δουλειά του.,,M
receptionist,F,The receptionist finished her work.,unambiguous [Female],F,Η ρεσεψιονίστ τελείωσε τη δουλειά της.,F,Η ρεσεψιονίστ τελείωσε τη δουλειά της.,,F
receptionist,F,The receptionist finished their work.,ambiguous / unambiguous [Non-binary],N,Ο ρεσεψιονίστ τελείωσε τη δουλειά του.,M,Η ρεσεψιονίστ τελείωσε τη δουλειά της.,,F
nurse,F,The nurse finished the work.,ambiguous base,N,Η νοσοκόμα τελείωσε τη δουλειά.,F,Η νοσοκόμα τελείωσε τη δουλειά.,,F
nurse,F,The wiry nurse finished the work.,ambiguous + male-biased adj.,N,Η νευρική νοσοκόμα τελείωσε τη δουλειά.,F,Η αδύνατη νοσοκόμα τελείωσε τη δουλειά.,,F
nurse,F,The sassy nurse finished the work.,ambiguous + female-biased adj.,N,Η αυθάδης νοσοκόμα τελείωσε τη δουλειά.,F,Η αυθάδης νοσοκόμα τελείωσε τη δουλειά.,,F
nurse,F,The nurse finished his work.,unambiguous [Male],M,Ο νοσοκόμος τελείωσε τη δουλειά του.,M,Ο νοσηλευτής τελείωσε τη δουλειά του.,,M
nurse,F,The nurse finished her work.,unambiguous [Female],F,Η νοσοκόμα τελείωσε τη δουλειά της.,F,Η νοσοκόμα τελείωσε τη δουλειά της.,,F
nurse,F,The nurse finished their work.,ambiguous / unambiguous [Non-binary],N,Η νοσοκόμα τελείωσε τη δουλειά της.,F,Η νοσοκόμα τελείωσε τη δουλειά της.,,F
hairdresser,F,The hairdresser finished the work.,ambiguous base,N,Ο κομμωτής τελείωσε τη δουλειά.,M,Ο κομμωτής τελείωσε τη δουλειά.,Η κομμώτρια τελείωσε τη δουλειά.,M-F
hairdresser,F,The arrogant hairdresser finished the work.,ambiguous + male-biased adj.,N,Ο αγέρωχος κομμωτής τελείωσε τη δουλειά.,M,Ο αλαζόνας κομμωτής τελείωσε τη δουλειά.,Η αλαζονική κομμώτρια τελείωσε τη δουλειά.,M-F
hairdresser,F,The alluring hairdresser finished the work.,ambiguous + female-biased adj.,N,Ο δελεαστικός κομμωτής τελείωσε τη δουλειά.,M,Η γοητευτική κομμώτρια τελείωσε τη δουλειά.,Ο γοητευτικός κομμωτής τελείωσε τη δουλειά.,M-F
hairdresser,F,The hairdresser finished his work.,unambiguous [Male],M,Ο κομμωτής τελείωσε τη δουλειά του.,M,Ο κομμωτής τελείωσε τη δουλειά του.,,M
hairdresser,F,The hairdresser finished her work.,unambiguous [Female],F,Η κομμώτρια τελείωσε τη δουλειά της.,F,Η κομμώτρια τελείωσε τη δουλειά της.,,F
hairdresser,F,The hairdresser finished their work.,ambiguous / unambiguous [Non-binary],N,Ο κομμωτής τελείωσε τη δουλειά τους.,error [2],Ο κομμωτής τελείωσε τη δουλειά του.,Η κομμώτρια τελείωσε τη δουλειά της.,M-F
secretary,F,The secretary finished the work.,ambiguous base,N,Ο γραμματέας τελείωσε τη δουλειά.,M,Ο γραμματέας τελείωσε τη δουλειά.,Η γραμματέας ολοκλήρωσε τη δουλειά.,M-F
secretary,F,The debonair secretary finished the work.,ambiguous + male-biased adj.,N,Τελείωσε τη δουλειά η άχαρη γραμματέας.,F,Ο ευγενικός γραμματέας τελείωσε τη δουλειά.,,M
secretary,F,The lovely secretary finished the work.,ambiguous + female-biased adj.,N,Η όμορφη γραμματέας τελείωσε τη δουλειά.,F,Η αξιαγάπητη γραμματέας ολοκλήρωσε τη δουλειά.,,F
secretary,F,The secretary finished his work.,unambiguous [Male],M,Ο γραμματέας τελείωσε τη δουλειά του.,M,Ο γραμματέας τελείωσε τη δουλειά του.,,M
secretary,F,The secretary finished her work.,unambiguous [Female],F,Η γραμματέας τελείωσε τη δουλειά της.,F,Η γραμματέας τελείωσε τη δουλειά της.,,F
secretary,F,The secretary finished their work.,ambiguous / unambiguous [Non-binary],N,Ο γραμματέας τελείωσε τη δουλειά τους.,error [2],Ο γραμματέας τελείωσε τη δουλειά του.,Η γραμματέας τελείωσε τη δουλειά της.,M-F
