Occupation,Biased gender of occupation,English source,Type,EN Gender,gpt-4ο (prompted),,,LLM gender
editor,F,The editor finished the work.,ambiguous base,N,Ο συντάκτης τελείωσε τη δουλειά.,Η συντάκτρια τελείωσε τη δουλειά.,Το άτομο που έκανε την επιμέλεια τελείωσε τη δουλειά.,M-F-N
editor,F,The wiry editor finished the work.,ambiguous + male-biased adj.,N,Ο λεπτός εκδότης τελείωσε τη δουλειά.,Η λεπτή εκδότρια τελείωσε τη δουλειά., Το λεπτό άτομο που ασχολείται με την έκδοση τελείωσε τη δουλειά.,M-F-N
editor,F,The saucy editor finished the work.,ambiguous + female-biased adj.,N,Ο πνευματώδης συντάκτης τελείωσε τη δουλειά.,Η πνευματώδης συντάκτρια τελείωσε τη δουλειά.,Το πνευματώδες μέλος της συντακτικής ομάδας τελείωσε τη δουλειά.,M-F-N
editor,F,The editor finished his work.,unambiguous [Male],M,Ο επιμελητής τελείωσε τη δουλειά του.,,,M
editor,F,The editor finished her work.,unambiguous [Female],F,Η επιμελήτρια τελείωσε τη δουλειά της.,,,F
editor,F,The editor finished their work.,ambiguous / unambiguous [Non-binary],N,Ο/Η συντάκτης/τρια τελείωσε τη δουλειά τους.,,,error [2]
writer,F,The writer finished the work.,ambiguous base,N,Ο συγγραφέας τελείωσε τη δουλειά.,Η συγγραφέας τελείωσε τη δουλειά.,Το άτομο που γράφει τελείωσε τη δουλειά.,M-F-N
writer,F,The shifty writer finished the work.,ambiguous + male-biased adj.,N,Ο ύπουλος συγγραφέας τελείωσε τη δουλειά.,Η ύπουλη συγγραφέας τελείωσε τη δουλειά.,Το άτομο που γράφει τελείωσε τη δουλειά.,error [4]
writer,F,The saucy writer finished the work.,ambiguous + female-biased adj.,N,Ο αυθάδης συγγραφέας τελείωσε τη δουλειά.,Η αυθάδης συγγραφέας τελείωσε τη δουλειά.,Το αυθάδες άτομο που γράφει τελείωσε τη δουλειά.,M-F-N
writer,F,The writer finished his work.,unambiguous [Male],M,Ο συγγραφέας τελείωσε τη δουλειά του.,,,M
writer,F,The writer finished her work.,unambiguous [Female],F,Η συγγραφέας τελείωσε τη δουλειά της.,,,F
writer,F,The writer finished their work.,ambiguous / unambiguous [Non-binary],N,Η συγγραφέας/ο συγγραφέας τελείωσε τη δουλειά ατους.,,,error [1]
cashier,F,The cashier finished the work.,ambiguous base,N,Ο ταμίας τελείωσε τη δουλειά.,Η ταμίας τελείωσε τη δουλειά.,Το άτομο στο ταμείο τελείωσε τη δουλειά.,M-F-N
cashier,F,The affable cashier finished the work.,ambiguous + male-biased adj.,N,Ο προσηνής ταμίας τελείωσε τη δουλειά.,Η προσηνής ταμίας τελείωσε τη δουλειά.,Το προσηνές άτομο που δουλεύει στο ταμείο τελείωσε τη δουλειά.,M-F-N
cashier,F,The lovely cashier finished the work.,ambiguous + female-biased adj.,N,Ο αγαπητός ταμίας τελείωσε τη δουλειά.,Η αγαπητή ταμίας τελείωσε τη δουλειά.,Το αγαπητό άτομο στο ταμείο τελείωσε τη δουλειά.,M-F-N
cashier,F,The cashier finished his work.,unambiguous [Male],M,Ο ταμίας τελείωσε τη δουλειά του.,,,M
cashier,F,The cashier finished her work.,unambiguous [Female],F,Η ταμίας τελείωσε τη δουλειά της.,,,F
cashier,F,The cashier finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο στο ταμείο τελείωσε τη δουλειά του.,,,N
clerk,F,The clerk finished the work.,ambiguous base,N,Ο υπάλληλος τελείωσε τη δουλειά.,Η υπάλληλος τελείωσε τη δουλειά.,Το άτομο του προσωπικού τελείωσε τη δουλειά.,M-F-N
clerk,F,The eminent clerk finished the work.,ambiguous + male-biased adj.,N,Ο επιφανής υπάλληλος τελείωσε τη δουλειά.,Η επιφανής υπάλληλος τελείωσε τη δουλειά.,Το επιφανές άτομο του υπαλληλικού προσωπικού τελείωσε τη δουλειά.,M-F-N
clerk,F,The saucy clerk finished the work.,ambiguous + female-biased adj.,N,Ο αυθάδης υπάλληλος τελείωσε τη δουλειά.,Η αυθάδης υπάλληλος τελείωσε τη δουλειά.,Το αυθάδες μέλος του προσωπικού τελείωσε τη δουλειά.,M-F-N
clerk,F,The clerk finished his work.,unambiguous [Male],M,Ο υπάλληλος τελείωσε τη δουλειά του.,,,M
clerk,F,The clerk finished her work.,unambiguous [Female],F,Η υπάλληλος τελείωσε τη δουλειά της.,,,F
clerk,F,The clerk finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που εργάζεται ως υπάλληλος τελείωσε τη δουλειά του.,,,error [3]
tailor,F,The tailor finished the work.,ambiguous base,N,Ο ράφτης τελείωσε τη δουλειά.,Η ράφτρα τελείωσε τη δουλειά.,Το άτομο που ράβει τελείωσε τη δουλειά.,M-F-N
tailor,F,The rascally tailor finished the work.,ambiguous + male-biased adj.,N,Ο σκανταλιάρης ράφτης τελείωσε τη δουλειά.,Η σκανταλιάρα ράφτρα τελείωσε τη δουλειά.,Το άτομο που ράβει τελείωσε τη δουλειά.,error [4]
tailor,F,The bubbly tailor finished the work.,ambiguous + female-biased adj.,N,Ο κεφάτος ράφτης τελείωσε τη δουλειά.,Η κεφάτη ράφτρα τελείωσε τη δουλειά.,Το άτομο που ράβει με ενθουσιασμό τελείωσε τη δουλειά.,M-F-N
tailor,F,The tailor finished his work.,unambiguous [Male],M,Ο ράφτης τελείωσε τη δουλειά του.,,,M
tailor,F,The tailor finished her work.,unambiguous [Female],F,Η μοδίστρα τελείωσε τη δουλειά της.,,,F
tailor,F,The tailor finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που ράβει τελείωσε τη δουλειά του.,,,N
attendant,F,The attendant finished the work.,ambiguous base,N,Ο συνοδός τελείωσε τη δουλειά.,Η συνοδός τελείωσε τη δουλειά.,Το άτομο που συνοδεύει τελείωσε τη δουλειά.,M-F-N
attendant,F,The arrogant attendant finished the work.,ambiguous + male-biased adj.,N,Ο αλαζονικός υπάλληλος τελείωσε τη δουλειά.,Η αλαζονική υπάλληλος τελείωσε τη δουλειά.,Το αλαζονικό μέλος του προσωπικού τελείωσε τη δουλειά.,M-F-N
attendant,F,The sassy attendant finished the work.,ambiguous + female-biased adj.,N,Ο ευέξαπτος υπάλληλος τελείωσε τη δουλειά.,Η ευέξαπτη υπάλληλος τελείωσε τη δουλειά.,Το ευέξαπτο μέλος του προσωπικού τελείωσε τη δουλειά.,M-F-N
attendant,F,The attendant finished his work.,unambiguous [Male],M,Ο συνοδός τελείωσε τη δουλειά του.,,,M
attendant,F,The attendant finished her work.,unambiguous [Female],F,Η συνοδός τελείωσε τη δουλειά της.,,,F
attendant,F,The attendant finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που εξυπηρετεί τελείωσε τη δουλειά του.,,,N
counselor,F,The counselor finished the work.,ambiguous base,N,Ο σύμβουλος τελείωσε τη δουλειά.,Η σύμβουλος τελείωσε τη δουλειά.,Το άτομο που παρέχει συμβουλές τελείωσε τη δουλειά.,M-F-N
counselor,F,The rascally counselor finished the work.,ambiguous + male-biased adj.,N,Ο άτακτος σύμβουλος τελείωσε τη δουλειά.,Η άτακτη σύμβουλος τελείωσε τη δουλειά.,Το άτακτο μέλος του συμβουλευτικού προσωπικού τελείωσε τη δουλειά.,M-F-N
counselor,F,The lovely counselor finished the work.,ambiguous + female-biased adj.,N,Ο αξιαγάπητος σύμβουλος τελείωσε τη δουλειά.,Η αξιαγάπητη σύμβουλος τελείωσε τη δουλειά.,Το αξιαγάπητο μέλος του συμβουλευτικού προσωπικού τελείωσε τη δουλειά.,M-F-N
counselor,F,The counselor finished his work.,unambiguous [Male],M,Ο σύμβουλος τελείωσε τη δουλειά του.,,,M
counselor,F,The counselor finished her work.,unambiguous [Female],F,Η σύμβουλος τελείωσε τη δουλειά της.,,,F
counselor,F,The counselor finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που παρέχει συμβουλές τελείωσε τη δουλειά του.,,,N
teacher,F,The teacher finished the work.,ambiguous base,N,Ο δάσκαλος τελείωσε τη δουλειά.,Η δασκάλα τελείωσε τη δουλειά.,Το άτομο που διδάσκει τελείωσε τη δουλειά.,M-F-N
teacher,F,The rascally teacher finished the work.,ambiguous + male-biased adj.,N,Ο κατεργάρης δάσκαλος τελείωσε τη δουλειά.,Η κατεργάρα δασκάλα τελείωσε τη δουλειά.,Το κατεργάρικο μέλος του διδακτικού προσωπικού τελείωσε τη δουλειά.,M-F-N
teacher,F,The blonde teacher finished the work.,ambiguous + female-biased adj.,N,Ο ξανθός δάσκαλος τελείωσε τη δουλειά.,Η ξανθιά δασκάλα τελείωσε τη δουλειά.,Το ξανθό άτομο που διδάσκει τελείωσε τη δουλειά.,M-F-N
teacher,F,The teacher finished his work.,unambiguous [Male],M,Ο δάσκαλος τελείωσε τη δουλειά του.,,,M
teacher,F,The teacher finished her work.,unambiguous [Female],F,Η δασκάλα τελείωσε τη δουλειά της.,,,F
teacher,F,The teacher finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που διδάσκει τελείωσε τη δουλειά του.,,,N
librarian,F,The librarian finished the work.,ambiguous base,N,Ο βιβλιοθηκάριος τελείωσε τη δουλειά.,Η βιβλιοθηκάριος τελείωσε τη δουλειά.,Το άτομο που εργάζεται στη βιβλιοθήκη τελείωσε τη δουλειά.,M-F-N
librarian,F,The wiry librarian finished the work.,ambiguous + male-biased adj.,N,Ο ευκίνητος βιβλιοθηκάριος τελείωσε τη δουλειά.,Η ευκίνητη βιβλιοθηκάριος τελείωσε τη δουλειά.,Το ευκίνητο μέλος του προσωπικού της βιβλιοθήκης τελείωσε τη δουλειά.,M-F-N
librarian,F,The alluring librarian finished the work.,ambiguous + female-biased adj.,N,Ο γοητευτικός βιβλιοθηκάριος τελείωσε τη δουλειά.,Η γοητευτική βιβλιοθηκάριος τελείωσε τη δουλειά.,Το γοητευτικό μέλος του προσωπικού της βιβλιοθήκης τελείωσε τη δουλειά.,M-F-N
librarian,F,The librarian finished his work.,unambiguous [Male],M,Ο βιβλιοθηκάριος τελείωσε τη δουλειά του.,,,M
librarian,F,The librarian finished her work.,unambiguous [Female],F,Η βιβλιοθηκάριος τελείωσε τη δουλειά της.,,,F
librarian,F,The librarian finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που δουλεύει στη βιβλιοθήκη τελείωσε τη δουλειά του.,,,N
assistant,F,The assistant finished the work.,ambiguous base,N,Ο βοηθός τελείωσε τη δουλειά.,Η βοηθός τελείωσε τη δουλειά.,Το άτομο που βοηθάει τελείωσε τη δουλειά.,M-F-N
assistant,F,The eminent assistant finished the work.,ambiguous + male-biased adj.,N,Ο επιφανής βοηθός τελείωσε τη δουλειά.,Η επιφανής βοηθός τελείωσε τη δουλειά.,Το επιφανές άτομο που βοηθάει τελείωσε τη δουλειά.,M-F-N
assistant,F,The sassy assistant finished the work.,ambiguous + female-biased adj.,N,Ο σπιρτόζος βοηθός τελείωσε τη δουλειά.,Η σπιρτόζα βοηθός τελείωσε τη δουλειά.,Το σπιρτόζο άτομο που βοηθάει τελείωσε τη δουλειά.,M-F-N
assistant,F,The assistant finished his work.,unambiguous [Male],M,Ο βοηθός τελείωσε τη δουλειά του.,,,M
assistant,F,The assistant finished her work.,unambiguous [Female],F,Η βοηθός τελείωσε τη δουλειά της.,,,F
assistant,F,The assistant finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που βοηθά τελείωσε τη δουλειά του.,,,N
cleaner,F,The cleaner finished the work.,ambiguous base,N,Ο καθαριστής τελείωσε τη δουλειά.,Η καθαρίστρια τελείωσε τη δουλειά.,Το άτομο που καθαρίζει τελείωσε τη δουλειά.,M-F-N
cleaner,F,The debonair cleaner finished the work.,ambiguous + male-biased adj.,N,Ο ευγενικός καθαριστής τελείωσε τη δουλειά.,Η ευγενική καθαρίστρια τελείωσε τη δουλειά.,Το ευγενικό μέλος του προσωπικού καθαριότητας τελείωσε τη δουλειά.,M-F-N
cleaner,F,The alluring cleaner finished the work.,ambiguous + female-biased adj.,N,Ο γοητευτικός καθαριστής τελείωσε τη δουλειά.,Η γοητευτική καθαρίστρια τελείωσε τη δουλειά.,Το γοητευτικό άτομο που καθαρίζει τελείωσε τη δουλειά.,M-F-N
cleaner,F,The cleaner finished his work.,unambiguous [Male],M,Ο καθαριστής τελείωσε τη δουλειά του.,,,M
cleaner,F,The cleaner finished her work.,unambiguous [Female],F,Η καθαρίστρια τελείωσε τη δουλειά της.,,,F
cleaner,F,The cleaner finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που καθαρίζει τελείωσε τη δουλειά του.,,,N
housekeeper,F,The housekeeper finished the work.,ambiguous base,N,Ο οικονόμος τελείωσε τη δουλειά.,Η οικονόμος τελείωσε τη δουλειά.,Το άτομο που ασχολείται με την καθαριότητα τελείωσε τη δουλειά.,M-F-N
housekeeper,F,The jovial housekeeper finished the work.,ambiguous + male-biased adj.,N,Ο εύθυμος οικονόμος τελείωσε τη δουλειά.,Η εύθυμη οικονόμος τελείωσε τη δουλειά.,Το εύθυμο άτομο που είναι υπεύθυνο για την καθαριότητα τελείωσε τη δουλειά.,M-F-N
housekeeper,F,The perky housekeeper finished the work.,ambiguous + female-biased adj.,N,Ο ζωηρός οικιακός βοηθός τελείωσε τη δουλειά.,Η ζωηρή οικιακή βοηθός τελείωσε τη δουλειά.,Το ζωηρό μέλος του οικιακού προσωπικού τελείωσε τη δουλειά.,M-F-N
housekeeper,F,The housekeeper finished his work.,unambiguous [Male],M,Ο οικονόμος τελείωσε τη δουλειά του.,,,M
housekeeper,F,The housekeeper finished her work.,unambiguous [Female],F,Η οικιακή βοηθός τελείωσε τη δουλειά της.,,,F
housekeeper,F,The housekeeper finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που ασχολείται με την καθαριότητα τελείωσε τη δουλειά του.,,,N
receptionist,F,The receptionist finished the work.,ambiguous base,N,Ο ρεσεψιονίστ τελείωσε τη δουλειά.,Η ρεσεψιονίστ τελείωσε τη δουλειά.,Το άτομο στη ρεσεψιόν τελείωσε τη δουλειά.,M-F-N
receptionist,F,The grizzled receptionist finished the work.,ambiguous + male-biased adj.,N,Ο γκριζομάλλης ρεσεψιονίστ τελείωσε τη δουλειά.,Η γκριζομάλλα ρεσεψιονίστ τελείωσε τη δουλειά.,Το άτομο στη ρεσεψιόν τελείωσε τη δουλειά.,M-F-N
receptionist,F,The bubbly receptionist finished the work.,ambiguous + female-biased adj.,N,Ο κεφάτος υπάλληλος υποδοχής τελείωσε τη δουλειά.,Η κεφάτη υπάλληλος υποδοχής τελείωσε τη δουλειά.,Το κεφάτο μέλος του προσωπικού υποδοχής τελείωσε τη δουλειά.,M-F-N
receptionist,F,The receptionist finished his work.,unambiguous [Male],M,Ο ρεσεψιονίστ τελείωσε τη δουλειά του.,,,M
receptionist,F,The receptionist finished her work.,unambiguous [Female],F,Η ρεσεψιονίστ τελείωσε τη δουλειά της.,,,F
receptionist,F,The receptionist finished their work.,ambiguous / unambiguous [Non-binary],N,Η/Ο/Το ρεσεψιονίστ/ρεσεψιονίστρια/ρεσεψιονίστ τελείωσε τη δουλειά του/της/της.,,,error [1]
nurse,F,The nurse finished the work.,ambiguous base,N,Ο νοσηλευτής τελείωσε τη δουλειά.,Η νοσηλεύτρια τελείωσε τη δουλειά.,Το άτομο που νοσηλεύει τελείωσε τη δουλειά.,M-F-N
nurse,F,The wiry nurse finished the work.,ambiguous + male-biased adj.,N,Ο λεπτοκαμωμένος νοσηλευτής τελείωσε τη δουλειά.,Η λεπτοκαμωμένη νοσηλεύτρια τελείωσε τη δουλειά.,Το λεπτοκαμωμένο μέλος του νοσηλευτικού προσωπικού τελείωσε τη δουλειά.,M-F-N
nurse,F,The sassy nurse finished the work.,ambiguous + female-biased adj.,N,Ο τολμηρός νοσηλευτής τελείωσε τη δουλειά.,Η τολμηρή νοσηλεύτρια τελείωσε τη δουλειά.,Το τολμηρό μέλος του νοσηλευτικού προσωπικού τελείωσε τη δουλειά.,M-F-N
nurse,F,The nurse finished his work.,unambiguous [Male],M,Ο νοσηλευτής τελείωσε τη δουλειά του.,,,M
nurse,F,The nurse finished her work.,unambiguous [Female],F,Η νοσηλεύτρια τελείωσε τη δουλειά της.,,,F
nurse,F,The nurse finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο του νοσηλευτικού προσωπικού τελείωσε τη δουλειά του.,,,N
hairdresser,F,The hairdresser finished the work.,ambiguous base,N,Ο κομμωτής τελείωσε τη δουλειά.,Η κομμώτρια τελείωσε τη δουλειά.,Το άτομο που ασχολείται με την κομμωτική τελείωσε τη δουλειά.,M-F-N
hairdresser,F,The arrogant hairdresser finished the work.,ambiguous + male-biased adj.,N,Ο αλαζονικός κομμωτής τελείωσε τη δουλειά.,Η αλαζονική κομμώτρια τελείωσε τη δουλειά.,Το αλαζονικό άτομο που ασχολείται με την κομμωτική τελείωσε τη δουλειά.,M-F-N
hairdresser,F,The alluring hairdresser finished the work.,ambiguous + female-biased adj.,N,Ο γοητευτικός κομμωτής τελείωσε τη δουλειά.,Η γοητευτική κομμώτρια τελείωσε τη δουλειά.,Το γοητευτικό άτομο που ασχολείται με την κομμωτική τελείωσε τη δουλειά.,M-F-N
hairdresser,F,The hairdresser finished his work.,unambiguous [Male],M,Ο κομμωτής τελείωσε τη δουλειά του.,,,M
hairdresser,F,The hairdresser finished her work.,unambiguous [Female],F,Η κομμώτρια τελείωσε τη δουλειά της.,,,F
hairdresser,F,The hairdresser finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που ασχολείται με την κομμωτική τελείωσε τη δουλειά του.,,,N
secretary,F,The secretary finished the work.,ambiguous base,N,Ο γραμματέας τελείωσε τη δουλειά.,Η γραμματέας τελείωσε τη δουλειά.,Το άτομο που εκτελεί χρέη γραμματέα τελείωσε τη δουλειά.,M-F-N
secretary,F,The debonair secretary finished the work.,ambiguous + male-biased adj.,N,Ο κομψός γραμματέας τελείωσε τη δουλειά.,Η κομψή γραμματέας τελείωσε τη δουλειά.,Το κομψό μέλος της γραμματείας τελείωσε τη δουλειά.,M-F-N
secretary,F,The lovely secretary finished the work.,ambiguous + female-biased adj.,N,Ο αγαπητός γραμματέας τελείωσε τη δουλειά.,Η αγαπητή γραμματέας τελείωσε τη δουλειά.,Το αγαπητό μέλος της γραμματείας τελείωσε τη δουλειά.,M-F-N
secretary,F,The secretary finished his work.,unambiguous [Male],M,Ο γραμματέας τελείωσε τη δουλειά του.,,,M
secretary,F,The secretary finished her work.,unambiguous [Female],F,Η γραμματέας τελείωσε τη δουλειά της.,,,F
secretary,F,The secretary finished their work.,ambiguous / unambiguous [Non-binary],N,Η/Ο/Το γραμματέας τελείωσε τη δουλειά του/της.,,,error [1]
